Date,Open,High,Low,Close*,Adj Close**,Volume
01/09/2023,257.26,259.08,242.01,245.01,245.01,132272500
01/08/2023,266.26,266.47,212.36,258.08,258.08,2501580900
01/07/2023,276.49,299.29,254.12,267.43,267.43,2392089000
01/06/2023,202.59,276.99,199.37,261.77,261.77,3440477900
01/05/2023,163.17,204.48,158.83,203.93,203.93,2681994800
01/04/2023,199.91,202.69,152.37,164.31,164.31,2505176300
01/03/2023,206.21,207.79,163.91,207.46,207.46,3311619900
01/02/2023,173.89,217.65,169.93,205.71,205.71,3624845100
01/01/2023,118.47,180.68,101.81,173.22,173.22,3897499400
01/12/2022,197.08,198.92,108.24,123.18,123.18,2944247700
01/11/2022,234.05,237.4,166.19,194.7,194.7,1885275300
01/10/2022,254.5,257.5,198.59,227.54,227.54,1735263100
01/09/2022,272.58,313.8,262.47,265.25,265.25,1299271000
01/08/2022,301.28,314.67,271.81,275.61,275.61,1695263200
01/07/2022,227,298.32,216.17,297.15,297.15,1744884000
01/06/2022,251.72,264.21,208.69,224.47,224.47,2011227900
01/05/2022,286.92,318.5,206.86,252.75,252.75,1948221600
01/04/2022,360.38,384.29,273.9,290.25,290.25,1520959800
01/03/2022,289.89,371.59,252.01,359.2,359.2,1729272900
01/02/2022,311.74,315.92,233.33,290.14,290.14,1391126700
01/01/2022,382.58,402.67,264,312.24,312.24,1916006400
01/12/2021,386.9,390.95,295.37,352.26,352.26,1530167700
01/11/2021,381.67,414.5,326.2,381.59,381.59,1947334500
01/10/2021,259.47,371.74,254.53,371.33,371.33,1586803800
01/09/2021,244.69,266.33,236.28,258.49,258.49,1170513900
01/08/2021,233.33,246.8,216.28,245.24,245.24,1143974700
01/07/2021,227.97,233.33,206.82,229.07,229.07,1345349400
01/06/2021,209.27,232.54,190.41,226.57,226.57,1559765700
01/05/2021,234.6,235.33,182.33,208.41,208.41,1875527400
01/04/2021,229.46,260.26,219.81,236.48,236.48,2035619100
01/03/2021,230.04,240.37,179.83,222.64,222.64,2827357200
01/02/2021,271.43,293.5,206.33,225.17,225.17,1568573700
01/01/2021,239.82,300.13,239.06,264.51,264.51,2117084400
01/12/2020,199.2,239.57,180.4,235.22,235.22,3589038000
01/11/2020,131.33,202.6,130.77,189.2,189.2,2347796400
01/10/2020,146.92,155.3,126.37,129.35,129.35,2500999200
01/09/2020,167.38,167.5,109.96,143,143,5208854400
01/08/2020,96.61,166.71,91,166.11,166.11,4672135200
01/07/2020,72.2,119.67,72.03,95.38,95.38,5679502500
01/06/2020,57.2,72.51,56.94,71.99,71.99,3836590500
01/05/2020,50.33,56.22,45.54,55.67,55.67,4090554000
01/04/2020,33.6,57.99,29.76,52.13,52.13,5722162500
01/03/2020,47.42,53.8,23.37,34.93,34.93,6314025000
01/02/2020,44.91,64.6,40.77,44.53,44.53,7088802000
01/01/2020,28.3,43.53,28.11,43.37,43.37,6108277500
01/12/2019,21.96,29.02,21.82,27.89,27.89,3106200000
01/11/2019,21.09,24.08,20.62,22,22,2366562000
01/10/2019,16.1,22.72,14.95,20.99,20.99,3419739000
01/09/2019,14.94,16.9,14.56,16.06,16.06,2036629500
01/08/2019,16.18,16.3,14.07,15.04,15.04,2006859000
01/07/2019,15.35,17.74,14.81,16.11,16.11,2990050500
01/06/2019,12.37,15.65,11.8,14.9,14.9,3224559000
01/05/2019,15.92,17.22,12.27,12.34,12.34,4238982000
01/04/2019,18.84,19.74,15.41,15.91,15.91,3461209500
01/03/2019,20.46,20.48,16.96,18.66,18.66,3206902500
01/02/2019,20.36,21.62,19.25,21.33,21.33,1928251500
01/01/2019,20.41,23.47,18.62,20.47,20.47,2634781500
01/12/2018,24,25.3,19.61,22.19,22.19,2196768000
01/11/2018,22.55,24.45,21.67,23.37,23.37,1995286500
01/10/2018,20.38,23.14,16.52,22.49,22.49,4295410500
